Altcoin,Label,Price,Mkt_Cap_BTC,Mkt_Cap_USD,Trdg_Vol_Day,Trdg_Vol_Week,Trdg_Vol_Month,Inflation_in_BTC_Day,Inflation_in_USD_Day,Inflation_in_BTC_Week,Inflation_in_USD_Week,Inflation_in_BTC_Month,Inflation_in_USD_Month,,,,,,,,
,,,,,Day,Week,Month,Day,"Day, $",Week,"Week, $",Month,"Month, $",3-Month,"3-Month, $",6-Month,"6-Month, $",Year,"Year, $","1-Month
inflation,%",Launch
ParkByte,PKB,0.00013412,939,12920213,240999,11466209,22027608,-4.74%,-3.97%,+47.22%,+33.87%,+103.98%,+45.09%,+52.18%,+272.18%,+15.8%,+586.73%,+3253%,+51613.12%,0,2015
ArtByte,ABY,3.03E-06,3030,41698527,1017020,7904469,29680305,+45.67%,+46.85%,+91.77%,+74.38%,+431.58%,+278.1%,+85.89%,+354.61%,+20.24%,+613.05%,+2230.77%,+35847.32%,0,2014
Monacoin,MONA,0.00055829,58687,807650160,2031684,32318674,199809168,+4.52%,+5.37%,-10.97%,-19.04%,-34.44%,-53.37%,+393.45%,+1106.79%,+309.36%,+2327.64%,+1441.81%,+23679.27%,1.18,2014
Primecoin,XPM,8.204E-05,2051,28225636,337854,2780917,23620165,-9.48%,-8.75%,+8.38%,-1.46%,+282.83%,+172.3%,+337.08%,+968.93%,-40.39%,+253.52%,+46.87%,+2165.12%,1.76,2013
Counterparty,XCP,0.00448549,11214,154322050,1453305,22985754,44421786,-2.49%,-1.70%,+22.55%,+11.44%,+175.41%,+95.9%,+191.04%,+611.77%,+33.84%,+693.7%,+82.37%,+2712.71%,0,2014
Bytecoin,BCN,7.5E-07,138353,1903991886,2148468,36138939,258048609,-3.85%,-3.07%,-11.76%,-19.77%,+226.09%,+131.94%,+212.5%,+664.25%,+20.97%,+617.37%,+1150%,+19178.68%,0.22,2012
BitShares,BTS,3.755E-05,93875,1291897424,10205241,70104109,488648219,-7.12%,-6.37%,-19.76%,-27.04%,+75.88%,+25.1%,+231.42%,+710.53%,-30.46%,+312.37%,+811.41%,+13956.59%,0.07,2014
Clams,CLAM,0.00081503,16301,224327064,280260,5929245,36279266,-0.49%,+0.32%,-5.98%,-14.50%,+85.74%,+32.11%,+19.43%,+192.07%,-41.87%,+244.74%,-11.76%,+1260.95%,1.92,2014
Huntercoin,HUC,3.1E-05,1302,17917981,143132,1391123,6281435,-9.73%,-9%,+11.83%,+1.69%,+152.24%,+79.41%,+175.8%,+574.5%,-25.57%,+341.39%,+134.49%,+3516.57%,2.15,2014
Vcash,XVC,8.1E-05,1620,22294262,513661,1821211,9967181,+17.82%,+18.77%,+33.27%,+21.18%,+116%,+53.64%,+101.44%,+392.65%,-3.44%,+472.6%,+109.84%,+3136.42%,0.09,2015
Lisk,LSK,0.002048,307200,4227652608,5516041,68880533,553745615,+0.97%,+1.79%,+1.55%,-7.66%,+210.27%,+120.69%,+141.59%,+490.85%,+160.83%,+1446.77%,+1119.48%,+18708.02%,0.86,2016
Augur,REP,0.006913,76043,1046495401,2957428,58659718,226160554,-3.69%,-2.91%,-0.09%,-9.15%,+212.1%,+121.99%,+106.72%,+405.57%,-25.45%,+342.11%,+34.59%,+1975.81%,0,2015
